dra,ddec,mag
-3.36533,-5.08435,17.28
-3.33949,-5.07247,17.28
-3.31366,-5.06058,17.28
-3.2878199999999995,-5.0487,17.28
-3.2619700000000003,-5.03681,17.28
-3.23612,-5.02492,17.28
-3.21027,-5.0130300000000005,17.28
-3.1844099999999997,-5.00113,17.28
-3.15855,-4.989240000000001,17.28
-3.13269,-4.97734,17.28
-3.10682,-4.96544,17.28
-3.08095,-4.95354,17.28
-3.05507,-4.9416400000000005,17.29
-3.0291900000000003,-4.92974,17.29
-3.00331,-4.91783,17.29
-2.97743,-4.90592,17.29
-2.95154,-4.894019999999999,17.29
-2.92564,-4.8821,17.29
-2.89975,-4.87019,17.29
-2.87385,-4.858280000000001,17.29
-2.8479400000000004,-4.84636,17.29
-2.82203,-4.83445,17.29
-2.79612,-4.82253,17.29
-2.77021,-4.81061,17.29
-2.7442900000000003,-4.798690000000001,17.29
-2.71837,-4.78676,17.29
-2.69245,-4.77484,17.29
-2.6665200000000002,-4.76291,17.29
-2.64059,-4.75098,17.3
-2.6146599999999998,-4.73905,17.3
-2.58872,-4.727119999999999,17.3
-2.56278,-4.71519,17.3
-2.53684,-4.70326,17.3
-2.5108900000000003,-4.691319999999999,17.3
-2.48494,-4.67939,17.3
-2.45899,-4.66745,17.3
-2.43304,-4.65551,17.3
-2.40708,-4.6435699999999995,17.3
-2.38112,-4.63163,17.3
-2.3551599999999997,-4.619680000000001,17.3
-2.32919,-4.60774,17.3
-2.30322,-4.59579,17.3
-2.27725,-4.58385,17.3
-2.25128,-4.5719,17.3
-2.2253,-4.55995,17.3
-2.19932,-4.548,17.31
-2.17334,-4.53604,17.31
-2.14735,-4.52409,17.31
-2.1213599999999997,-4.5121400000000005,17.31
-2.09537,-4.50018,17.31
-2.0693799999999998,-4.48822,17.31
-2.04338,-4.47626,17.31
-2.0173900000000002,-4.4643,17.31
-1.9913900000000002,-4.45234,17.31
-1.96538,-4.44038,17.31
-1.9393799999999999,-4.42842,17.31
-1.91337,-4.41646,17.31
-1.88736,-4.40449,17.31
-1.86135,-4.392519999999999,17.31
-1.83533,-4.38056,17.31
-1.80932,-4.36859,17.31
-1.7833,-4.3566199999999995,17.32
-1.75728,-4.34465,17.32
-1.73125,-4.33268,17.32
-1.70523,-4.3207,17.32
-1.6792,-4.308730000000001,17.32
-1.65317,-4.29676,17.32
-1.62714,-4.2847800000000005,17.32
-1.60111,-4.27281,17.32
-1.57507,-4.26083,17.32
-1.54903,-4.24885,17.32
-1.523,-4.23687,17.32
-1.49695,-4.22489,17.32
-1.47091,-4.21291,17.32
